Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
284086	NEK8	NIMA (never in mitosis gene a)- related kinase 8	NM_178170	NP_835464.1	ENSG00000160602	chr17:24079958 - 24093132	ATP binding;magnesium ion binding;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;protein-tyrosine kinase activity;transferase activity	Protein Kinase,  Tumor Suppressor
4756	NEO1	neogenin homolog 1 (chicken)	NM_002499	NP_002490.2	ENSG00000067141	chr15:71132069 - 71382090	cell adhesion;cell motility;cell-cell signaling;integral to membrane;integral to plasma membrane;multicellular organismal development;plasma membrane;protein binding	Tumor Suppressor
4763	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	NM_000267, NM_001042492, NM_001128147	NP_000258.1, NP_001035957.1, NP_001121619.1	ENSG00000196712	chr17:26446453 - 26725299	adrenal gland development;biological_process;cell cycle;cellular_component;cytoplasm;enzyme inhibitor activity;GTPase activator activity;heart development;intracellular;molecular_function;negative regulation of cell migration;negative regulation of endothelial cell proliferation;negative regulation of MAPKKK cascade;negative regulation of progression through cell cycle;positive regulation of Ras GTPase activity;protein binding;Ras GTPase activator activity;Ras protein signal transduction;regulation of glial	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
4771	NF2	neurofibromin 2 (bilateral acoustic neuroma)	NM_181832, NM_000268, NM_181828, NM_181829, NM_181833, NM_181830	NP_861970.1, NP_000259.1, NP_861966.1, NP_861967.1, NP_861971.1, NP_861969.1	ENSG00000186575	chr22:28329987 - 28420791	cell cycle;cytoplasm;cytoskeletal protein binding;cytoskeleton;negative regulation of cell proliferation;negative regulation of progression through cell cycle;nucleus;plasma membrane;sensory perception of sound;structural molecule activity	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
4790	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	NM_003998	NP_003989.2	ENSG00000109320	chr4:103665705 - 103756797	anti-apoptosis;apoptosis;cytoplasm;inflammatory response;negative regulation of interleukin-12 biosynthetic process;negative regulation of transcription, DNA-dependent;nucleus;positive regulation of transcription;positive regulation of transcription from RNA polymerase II promoter;protein binding;signal transduction;specific transcriptional repressor activity;transcription factor activity;transcription from RNA polymerase II promoter	NOTCH,  TNF_alpha_NF_kB,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
4791	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NM_002502, NM_001077494	NP_002493.3, NP_001070962.1	ENSG00000077150	chr10:104145706 - 104152123	cytoplasm;extracellular matrix organization and biogenesis;follicular dendritic cell differentiation;germinal center formation;nucleus;protein binding;regulation of transcription, DNA-dependent;signal transduction;spleen development;transcription coactivator activity;transcription factor activity	TNF_alpha_NF_kB,  Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
4792	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NM_020529	NP_065390.1	ENSG00000100906	chr14:34940969 - 34943601	apoptosis;cytoplasm;cytoplasmic sequestering of NF-kappaB;cytosol;negative regulation of DNA binding;negative regulation of myeloid cell differentiation;negative regulation of Notch signaling pathway;NF-kappaB binding;nuclear localization sequence binding;nucleus;protein import into nucleus, translocation;regulation of cell proliferation;regulation of NF-kappaB import into nucleus;ubiquitin protein ligase binding	NOTCH,  TNF_alpha_NF_kB,  Stability,  Tumor Suppressor
4800	NFYA	nuclear transcription factor Y, alpha	NM_021705, NM_002505	NP_068351.1, NP_002496.1	ENSG00000001167	chr6:41154806 - 41173127	CCAAT-binding factor complex;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription;transcription factor activity;transcription from RNA polymerase II promoter	TGFBR,  Tumor Suppressor
4804	NGFR	nerve growth factor receptor (TNFR superfamily, member 16)	NM_002507	NP_002498.1	ENSG00000064300	chr17:44927778 - 44945370	apoptosis;axon guidance;cell differentiation;central nervous system development;death receptor activity;detection of temperature stimulus;induction of apoptosis;integral to plasma membrane;multicellular organismal development;nerve development;nerve growth factor binding;plasma membrane;positive regulation of odontogenesis (sensu Vertebrata);protein binding;signal transduction;skin development	Tumor Suppressor
4817	NIT1	nitrilase 1	NM_005600	NP_005591.1	ENSG00000158793	chr1:159354590 - 159357179	biological_process;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;nitrilase activity;nitrogen compound metabolic process	Tumor Suppressor
56954	NIT2	nitrilase family, member 2	NM_020202	NP_064587.1	ENSG00000114021	chr3:101536325 - 101556802	biological_process;cellular_component;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;molecular_function;nitrogen compound metabolic process	Tumor Suppressor
4824	NKX3-1	NK3 transcription factor related, locus 1 (Drosophila)	NM_006167	NP_006158.2	ENSG00000167034	chr8:23594678 - 23596347	multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity	Tumor Suppressor
4830	NME1	non-metastatic cells 1, protein (NM23A) expressed in			ENSG00000011052	chr17:null	ATP binding;cell cycle;CTP biosynthetic process;cytoplasm;deoxyribonuclease activity;DNA binding;GTP biosynthetic process;kinase activity;magnesium ion binding;negative regulation of cell proliferation;negative regulation of progression through cell cycle;nucleoside diphosphate kinase activity;nucleoside triphosphate biosynthetic process;nucleotide binding;nucleotide metabolic process;nucleus;positive regulation of epithelial cell proliferation;regulation of apoptosis;transferase activity;UTP biosynthetic p	Tumor Suppressor,  Entrez Query:Oncogene
9241	NOG	noggin	NM_005450	NP_005441.1	ENSG00000183691	chr17:52026583 - 52027282	anatomical structure formation;BMP signaling pathway;brain development;cartilage development;cell differentiation;extracellular space;negative regulation of cell differentiation;notochord morphogenesis;pattern specification process;protein binding;sensory perception of sound;ureteric bud development	Tumor Suppressor
4843	NOS2A	nitric oxide synthase 2A (inducible, hepatocytes)	NM_000625	NP_000616.3	ENSG00000007171	chr17:23108398 - 23149962	calcium ion binding;calmodulin binding;cytoplasm;cytosol;defense response to bacterium;electron carrier activity;electron transport;FAD binding;FMN binding;heme binding;inflammatory response;iron ion binding;NADP binding;nitric oxide biosynthetic process;nitric-oxide synthase activity;superoxide metabolic process;zinc ion binding	Tumor Suppressor
4851	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	NM_017617	NP_060087.3	null	chr9:138510343 - 138560059	calcium ion binding;cell differentiation;immune response;integral to membrane;membrane;multicellular organismal development;negative regulation of myoblast differentiation;Notch signaling pathway;nucleus;protein binding;receptor activity;regulation of developmental process;regulation of transcription, DNA-dependent	NOTCH,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Stability,  Tumor Suppressor,  Missense mutation,  Translocation
27035	NOX1	NADPH oxidase 1	NM_013955, NM_007052	NP_039249.1, NP_008983.2	ENSG00000007952	chrX:99985596 - 100015784	electron transport;FAD binding;FADH2 metabolic process;integral to membrane;ion transport;iron ion binding;membrane;metal ion binding;NADP metabolic process;oxidoreductase activity;proton transport;superoxide-generating NADPH oxidase activity;voltage-gated proton channel activity	Tumor Suppressor
50507	NOX4	NADPH oxidase 4	NM_016931	NP_058627.1	ENSG00000086991	chr11:88699571 - 88864062	cell aging;cell morphogenesis;electron carrier activity;electron transport;endoplasmic reticulum;FAD binding;heme binding;inflammatory response;integral to membrane;iron ion binding;membrane;NAD(P)H oxidase activity;negative regulation of cell proliferation;nucleotide binding;nucleus;oxygen and reactive oxygen species metabolic process;oxygen sensor activity;superoxide release	Tumor Suppressor
4869	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	NM_002520, NM_001037738, NM_199185	NP_002511.1, NP_001032827.1, NP_954654.1	ENSG00000181163	chr5:170747557 - 170770174	activation of NF-kappaB transcription factor;anti-apoptosis;cell aging;centrosome;centrosome cycle;cytoplasm;intracellular protein transport;negative regulation of cell proliferation;NF-kappaB binding;nucleocytoplasmic transport;nucleolus;nucleus;protein heterodimerization activity;protein homodimerization activity;response to stress;ribosome assembly;RNA binding;signal transduction;Tat protein binding;transcription coactivator activity;unfolded protein binding	Futreal et al 2004,  Mitelman 2000,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene,  Translocation
8431	NR0B2	nuclear receptor subfamily 0, group B, member 2	NM_021969	NP_068804.1	ENSG00000131910	chr1:27110922 - 27113018	cholesterol metabolic process;negative regulation of transcription from RNA polymerase II promoter;nucleus;protein binding;regulation of transcription, DNA-dependent;steroid hormone receptor activity;transcription;transcription corepressor activity;transcription factor activity	Androgen Receptor,  Tumor Suppressor
3164	NR4A1	nuclear receptor subfamily 4, group A, member 1	NM_173157	NP_775180.1	ENSG00000123358	chr12:50734379 - 50738995	ligand-dependent nuclear receptor activity;metal ion binding;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;signal transduction;steroid hormone receptor activity;transcription;transcription factor activity;zinc ion binding	Tumor Suppressor
8013	NR4A3	nuclear receptor subfamily 4, group A, member 3	NM_173199, NM_173198	NP_775291.1, NP_775290.1	ENSG00000119508	chr9:101628873 - 101665970	binding;biological_process;ligand-dependent nuclear receptor activity;mesoderm formation;metal ion binding;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;steroid hormone receptor activity;thyroid hormone receptor activity;transcription;transcription factor activity;zinc ion binding	Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Translocation
8829	NRP1	neuropilin 1	NM_003873, NM_001024628, NM_001024629	NP_003864.4, NP_001019799.1, NP_001019800.1	ENSG00000099250	chr10:33509009 - 33663316	angiogenesis;axon guidance;cell adhesion;cell differentiation;cell-cell signaling;endoplasmic reticulum;integral to membrane;membrane;membrane fraction;multicellular organismal development;nervous system development;organ morphogenesis;positive regulation of cell proliferation;protein binding;receptor activity;signal transduction;vascular endothelial growth factor receptor activity	Stability,  Tumor Suppressor,  Entrez Query:Oncogene
80023	NRSN2	neurensin 2	NM_024958	NP_079234.1	ENSG00000125841	chr20:278287 - 282279	biological_process;integral to membrane;molecular_function;plasma membrane;transport vesicle	Tumor Suppressor
643432	NR_015362	-			null	chr6:null		Tumor Suppressor
9423	NTN1	netrin 1	NM_004822	NP_004813.2	ENSG00000065320	chr17:8866415 - 9084010	apoptosis;axon guidance;cell motility;cell-cell signaling;establishment of nucleus localization;extracellular space;negative regulation of axon extension;nervous system development;neuron migration;positive regulation of axon extension;positive regulation of cell proliferation;protein binding;proteinaceous extracellular matrix;regulation of cell migration;soluble fraction	Tumor Suppressor
4914	NTRK1	neurotrophic tyrosine kinase, receptor, type 1	NM_001012331, NM_002529, NM_001007792	NP_001012331.1, NP_002520.2, NP_001007793.1	ENSG00000198400	chr1:155097350 - 155118058	ATP binding;B cell differentiation;biological_process;cellular_component;cytoplasm;integral to membrane;integral to plasma membrane;kinase activity;mechanoreceptor differentiation;membrane;multicellular organismal development;nervous system development;neurotrophin binding;nucleotide binding;protein amino acid phosphorylation;protein binding;receptor activity;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
318	NUDT2	nudix (nucleoside diphosphate linked moiety X)-type motif 2	NM_147172	NP_671702.1	ENSG00000164978	chr9:34329037 - 34333438	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity;bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity;hydrolase activity;induction of apoptosis;nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	Tumor Suppressor
4928	NUP98	nucleoporin 98kDa	NM_139131, NM_005387, NM_016320, NM_139132	NP_624357.1, NP_005378.4, NP_057404.2, NP_624358.2	ENSG00000110713	chr11:3653964 - 3759923	DNA replication;nuclear pore;nuclear pore organization and biogenesis;nucleocytoplasmic transport;nucleoplasm;nucleus;protein binding;protein import into nucleus, docking;protein transport;structural constituent of nuclear pore;transporter activity	Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Translocation
3175	ONECUT1	one cut domain, family member 1	NM_004498	NP_004489.1	ENSG00000169856	chr15:50837043 - 50869373	cell differentiation;endoderm development;glucose metabolic process;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity;transcriptional activator activity	Stability,  Tumor Suppressor
4978	OPCML	opioid binding protein/cell adhesion molecule-like	NM_001012393, NM_002545	NP_001012393.1, NP_002536.1	ENSG00000183715	chr11:131795296 - 132318197	cell adhesion;GPI anchor binding;integral to plasma membrane;neuron recognition;opioid receptor activity;plasma membrane;protein binding	Tumor Suppressor
5008	OSM	oncostatin M	NM_020530	NP_065391.1	ENSG00000099985	chr22:28989871 - 28992788	apoptosis;behavioral response to pain;cell proliferation;cell-cell signaling;cytokine activity;extracellular region;extracellular space;immune response;multicellular organismal development;negative regulation of cell proliferation;oncostatin-M receptor binding;peripheral nervous system development;regulation of cell growth;response to heat;tyrosine phosphorylation of Stat1 protein;tyrosine phosphorylation of Stat3 protein;tyrosine phosphorylation of Stat5 protein	Tumor Suppressor
124641	OVCA2	-	NM_080822	NP_543012.1	ENSG00000108963	chr17:1892091 - 1893148	biological_process;cellular_component;molecular_function	Tumor Suppressor
135138	PACRG	PARK2 co-regulated	NM_001080378, NM_152410	NP_001073848.1, NP_689623.2	ENSG00000112530	chr6:163069257 - 163656009		Tumor Suppressor
5047	PAEP	progestagen-associated endometrial protein (placental protein 14, pregnancy-associated endometrial alpha-2-globulin, alpha uterine protein)	NM_001018049	NP_002562.2	ENSG00000122133	chr9:137593468 - 137597468	binding;multicellular organismal development;transport;transporter activity	Tumor Suppressor
79728	PALB2	partner and localizer of BRCA2	NM_024675	NP_078951.2	ENSG00000083093	chr16:23522280 - 23559979	nucleus	Stability,  Tumor Suppressor
56666	PANX2	pannexin 2	NM_052839	NP_443071.2	ENSG00000073150	chr22:48951286 - 48959833	gap junction;integral to membrane;membrane	Tumor Suppressor
5071	PARK2	Parkinson disease (autosomal recessive, juvenile) 2, parkin	NM_004562, NM_013988, NM_013987	NP_004553.2, NP_054643.2, NP_054642.2	ENSG00000185345	chr6:161691120 - 163068690	central nervous system development;ligase activity;metal ion binding;nucleus;protein binding;protein modification process;ubiquitin cycle;ubiquitin-dependent protein catabolic process;ubiquitin-protein ligase activity;zinc ion binding	Stability,  Tumor Suppressor
11315	PARK7	Parkinson disease (autosomal recessive, early onset) 7	NM_001123377, NM_007262	NP_001116849.1, NP_009193.2	ENSG00000116288	chr1:7945432 - 7967701	adult locomotory behavior;cytoplasm;dopamine uptake;nucleus;protein binding;protein folding;Ras protein signal transduction;response to hydrogen peroxide	Tumor Suppressor,  Entrez Query:Oncogene
142	PARP1	poly (ADP-ribose) polymerase family, member 1	NM_001618	NP_001609.2	ENSG00000143799	chr1:224615783 - 224662253	DNA binding;DNA repair;identical protein binding;intracellular;metal ion binding;NAD binding;NAD+ ADP-ribosyltransferase activity;nuclear envelope;nucleolus;nucleus;protein amino acid ADP-ribosylation;transcription from RNA polymerase II promoter;transferase activity, transferring glycosyl groups;zinc ion binding	Stability,  Tumor Suppressor
64098	PARVG	parvin, gamma	NM_022141	NP_071424.1	ENSG00000138964	chr22:42910542 - 42933639	actin binding;cell adhesion;cell-matrix adhesion;cytoskeleton;protein binding	Tumor Suppressor
5074	PAWR	PRKC, apoptosis, WT1, regulator	NM_002583	NP_002574.2	ENSG00000177425	chr12:78510517 - 78608155	apoptosis;cytoplasm;enzyme binding;interleukin-2 biosynthetic process;negative regulation of B cell proliferation;negative regulation of cell proliferation;negative regulation of T cell proliferation;negative regulation of T cell receptor signaling pathway;negative regulation of transcription from RNA polymerase II promoter;nucleus;positive regulation of amyloid precursor protein biosynthetic process;positive regulation of apoptosis;regulation of transcription, DNA-dependent;transcription;transcription core	Tumor Suppressor
5078	PAX4	paired box gene 4	NM_006193	NP_006184.2	ENSG00000106331	chr7:127038353 - 127042810	cell differentiation;multicellular organismal development;nucleus;organ morphogenesis;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity	Tumor Suppressor,  Entrez Query:Oncogene
5080	PAX6	paired box gene 6 (aniridia, keratitis)	NM_001127612, NM_001604	NP_001121084.1, NP_001595.2	ENSG00000007372	chr11:31768057 - 31784535	cell differentiation;central nervous system development;DNA binding;eye development;multicellular organismal development;nucleus;organ morphogenesis;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity;visual perception	Tumor Suppressor
55193	PBRM1	polybromo 1	NM_181042, NM_018165, NM_018313	NP_851385.1, NP_060635.2, NP_060783.3	ENSG00000163939	chr3:52557118 - 52688767	chromatin binding;chromatin remodeling;DNA binding;mitosis;nuclear chromosome;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription	Tumor Suppressor
57060	PCBP4	poly(rC) binding protein 4	NM_033009, NM_033010, NM_020418	NP_127502.1, NP_127503.1, NP_065151.1	ENSG00000090097	chr3:51967116 - 51970296	cell cycle arrest;cellular_component;DNA binding;DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest;DNA damage response, signal transduction resulting in induction of apoptosis;ribonucleoprotein complex;RNA binding	Tumor Suppressor
57575	PCDH10	protocadherin 10	NM_020815, NM_032961	NP_065866.1, NP_116586.1	ENSG00000138650	chr4:134290745 - 134330765	calcium ion binding;cell adhesion;homophilic cell adhesion;integral to membrane;membrane;protein binding	Tumor Suppressor
7703	PCGF2	polycomb group ring finger 2	NM_007144	NP_009075.1	ENSG00000056661	chr17:34145001 - 34150181	anterior/posterior pattern formation;chromatin binding;histone acetylation;metal ion binding;nuclear body;nucleus;PcG protein complex;protein binding;regulation of transcription, DNA-dependent;sex chromatin;transcription;transcription factor activity;ubiquitin-protein ligase activity;zinc ion binding	Tumor Suppressor
5133	PDCD1	programmed cell death 1	NM_005018	NP_005009.2	ENSG00000188389	chr2:242441882 - 242449663	apoptosis;biological_process;cellular_component;humoral immune response;integral to membrane;membrane;molecular_function;multicellular organismal development;signal transducer activity	Tumor Suppressor
27250	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	NM_145341, NM_014456	NP_663314.1, NP_055271.2	ENSG00000150593	chr10:112625775 - 112647836	apoptosis;cell aging;cell cycle;cytoplasm;cytosol;negative regulation of JNK activity;negative regulation of progression through cell cycle;negative regulation of transcription;nucleus;protein binding;RNA binding	Tumor Suppressor,  Entrez Query:Oncogene
5157	PDGFRL	platelet-derived growth factor receptor-like	NM_006207	NP_006198.1	ENSG00000104213	chr8:17479046 - 17544590	biological_process;cellular_component;platelet activating factor receptor activity;platelet-derived growth factor beta-receptor activity	Tumor Suppressor
8572	PDLIM4	PDZ and LIM domain 4	NM_003687	NP_003678.2	ENSG00000131435	chr5:131621326 - 131635821	metal ion binding;protein binding;zinc ion binding	Tumor Suppressor
3651	PDX1	pancreatic and duodenal homeobox 1	NM_000209	NP_000200.1	ENSG00000139515	chr13:27392275 - 27396838	cell differentiation;generation of precursor metabolites and energy;glucose metabolic process;multicellular organismal development;nucleus;organ morphogenesis;pancreas development;positive regulation of transcription from RNA polymerase II promoter;regulation of cell proliferation;sequence-specific DNA binding;specific RNA polymerase II transcription factor activity;transcription factor activity;transcriptional activator activity	Stability,  Tumor Suppressor
5037	PEBP1	phosphatidylethanolamine binding protein 1	NM_002567	NP_002558.1	ENSG00000089220	chr12:117058397 - 117066991	ATP binding;lipid binding;nucleotide binding;phosphatidylethanolamine binding;protein binding;serine-type endopeptidase inhibitor activity	EGFR1,  TNF_alpha_NF_kB,  Tumor Suppressor
5175	PECAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)	NM_000442	NP_000433.3	ENSG00000198802	chr17:59754907 - 59817530	cell adhesion;cell motility;cell recognition;integral to membrane;intercellular junction;plasma membrane;protein binding;signal transduction	Tumor Suppressor
5178	PEG3	paternally expressed 3	NM_006210	NP_006201.1	ENSG00000198300	chr19:62016854 - 62027835	apoptosis;intracellular;metal ion binding;nucleic acid binding;nucleus;regulation of transcription, DNA-dependent;transcription factor activity;zinc ion binding	TNF_alpha_NF_kB,  Tumor Suppressor
64065	PERP	PERP, TP53 apoptosis effector	NM_022121	NP_071404.2	ENSG00000112378	chr6:138454871 - 138470170	apoptosis;cell adhesion;cytoskeleton;integral to membrane;membrane;protein binding;structural molecule activity	Tumor Suppressor
23481	PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)	NM_014303	NP_055118.1	ENSG00000100029	chr22:29303032 - 29317820	anatomical structure morphogenesis;cell proliferation;intracellular;nucleolus;nucleus;protein binding	Stability,  Tumor Suppressor
5196	PF4	platelet factor 4 (chemokine (C-X-C motif) ligand 4)	NM_002619	NP_002610.1	ENSG00000163737	chr4:75065784 - 75066534	chemokine activity;cytokine and chemokine mediated signaling pathway;extracellular region;extracellular space;heparin binding;immune response;leukocyte chemotaxis;negative regulation of angiogenesis;negative regulation of megakaryocyte differentiation;platelet activation	Tumor Suppressor
5216	PFN1	profilin 1	NM_005022	NP_005013.1	ENSG00000108518	chr17:4789939 - 4792434	actin cytoskeleton;actin cytoskeleton organization and biogenesis;actin monomer binding;cytoplasm;cytoskeleton organization and biogenesis;neural tube closure;nucleus;protein binding;regulation of transcription from RNA polymerase II promoter	Tumor Suppressor
5241	PGR	progesterone receptor	NM_000926	NP_000917.3	ENSG00000082175	chr11:100415056 - 100505011	cell-cell signaling;lipid binding;metal ion binding;nucleus;protein binding;regulation of transcription, DNA-dependent;sequence-specific DNA binding;signal transduction;steroid binding;steroid hormone receptor activity;transcription;transcription factor activity;transcription from RNA polymerase II promoter;zinc ion binding	Stability,  Tumor Suppressor
5245	PHB	prohibitin	NM_002634	NP_002625.1	ENSG00000167085	chr17:44837352 - 44845625	DNA replication;histone deacetylation;integral to plasma membrane;membrane;mitochondrial inner membrane;mitochondrion;negative regulation of cell proliferation;negative regulation of transcription;nucleoplasm;nucleus;protein binding;regulation of apoptosis;regulation of progression through cell cycle;signal transduction;transcriptional activator activity;transcriptional repressor activity	Tumor Suppressor,  Entrez Query:Oncogene
11331	PHB2	prohibitin 2	NM_007273	NP_009204.1	null	chr12:6945108 - 6949967	estrogen receptor binding;membrane;mitochondrial inner membrane;mitochondrion;negative regulation of transcription;nucleus;protein binding;receptor activity;regulation of transcription, DNA-dependent;specific transcriptional repressor activity;transcription	Stability,  Tumor Suppressor
79960	PHF17	PHD finger protein 17	NM_199320, NM_024900	NP_955352.1, NP_079176.2	ENSG00000077684	chr4:129972363 - 130012867	apoptosis;cytoplasm;metal ion binding;negative regulation of cell growth;nucleus;protein binding;regulation of transcription, DNA-dependent;response to stress;transcription;zinc ion binding	Tumor Suppressor
7262	PHLDA2	pleckstrin homology-like domain, family A, member 2	NM_003311	NP_003302.1	ENSG00000181649	chr11:2906711 - 2907170	apoptosis;imprinting;organ morphogenesis	Tumor Suppressor
401	PHOX2A	paired-like (aristaless) homeobox 2a	NM_005169	NP_005160.2	ENSG00000165462	chr11:71628440 - 71632696	neurotransmitter metabolic process;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity;transcription from RNA polymerase II promoter	Tumor Suppressor
5289	PIK3C3	phosphoinositide-3-kinase, class 3	NM_002647	NP_002638.2	ENSG00000078142	chr18:37789254 - 37915099	1-phosphatidylinositol-3-kinase activity;ATP binding;inositol or phosphatidylinositol kinase activity;manganese ion binding;nucleotide binding;phosphoinositide 3-kinase complex;protein amino acid phosphorylation;protein binding;protein kinase activity;transferase activity	Tumor Suppressor
5290	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	NM_006218	NP_006209.2	ENSG00000121879	chr3:180399307 - 180434846	1-phosphatidylinositol-3-kinase activity;anti-apoptosis;glucose metabolic process;inositol or phosphatidylinositol kinase activity;insulin receptor substrate binding;lamellipodium;phosphatidylinositol-4,5-bisphosphate 3-kinase activity;phosphoinositide 3-kinase complex;protein amino acid phosphorylation;protein kinase B signaling cascade;regulation of body size;signal transduction;transferase activity	Alpha6Beta4 Integrin,  EGFR1,  Futreal et al 2004,  Hahn and Weinberg 2002,  Tumor Suppressor,  Entrez Query:Oncogene,  Missense mutation
54984	PINX1	-	NM_017884	NP_060354.4	ENSG00000104637	chr8:10660320 - 10734676	cell cycle;cellular_component;chromosome;chromosome, telomeric region;intracellular;molecular_function;negative regulation of cell proliferation;negative regulation of progression through cell cycle;nucleic acid binding;nucleus;protein binding	Tumor Suppressor
5307	PITX1	paired-like homeodomain transcription factor 1	NM_002653	NP_002644.4	ENSG00000069011	chr5:134392367 - 134397470	anatomical structure morphogenesis;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;sequence-specific DNA binding;skeletal development;transcription factor activity	Tumor Suppressor
5310	PKD1	polycystic kidney disease 1 (autosomal dominant)	NM_001009944, NM_000296	NP_001009944.2, NP_000287.3	ENSG00000008710	chr16:2079728 - 2125691	anatomical structure morphogenesis;biological_process;calcium-independent cell-matrix adhesion;cellular_component;homophilic cell adhesion;integral to membrane;integral to plasma membrane;membrane;molecular_function;neuropeptide signaling pathway;protein binding;sugar binding	Stability,  Tumor Suppressor
29941	PKN3	protein kinase N3	NM_013355	NP_037487.2	ENSG00000160447	chr9:130505015 - 130522706	ATP binding;Golgi apparatus;intracellular;nucleotide binding;nucleus;protein amino acid phosphorylation;protein serine/threonine kinase activity;signal transduction;transferase activity	Protein Kinase,  Tumor Suppressor
22925	PLA2R1	phospholipase A2 receptor 1, 180kDa	NM_001007267, NM_007366	NP_001007268.1, NP_031392.3	ENSG00000153246	chr2:160506534 - 160627160	extracellular space;integral to membrane;integral to plasma membrane;receptor activity;sugar binding	Tumor Suppressor
5325	PLAGL1	pleiomorphic adenoma gene-like 1	NM_001080953, NM_002656	NP_006709.2, NP_002647.2	ENSG00000118495	chr6:144304253 - 144310966	cell cycle arrest;DNA binding;induction of apoptosis;intracellular;metal ion binding;nucleic acid binding;nucleus;positive regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;transcription;zinc ion binding	Tumor Suppressor
5333	PLCD1	phospholipase C, delta 1	NM_006225	NP_006216.2	ENSG00000187091	chr3:38024267 - 38046034	calcium ion binding;hydrolase activity;intracellular signaling cascade;lipid catabolic process;lipid metabolic process;phosphoinositide phospholipase C activity;phospholipid metabolic process;signal transducer activity	Tumor Suppressor
51196	PLCE1	phospholipase C, epsilon 1	NM_016341	NP_057425.3	ENSG00000138193	chr10:95780793 - 96074827	activation of MAPK activity;calcium ion binding;calcium-mediated signaling;cell proliferation;cytoskeleton organization and biogenesis;cytosol;diacylglycerol biosynthetic process;elevation of cytosolic calcium ion concentration;enzyme binding;epidermal growth factor receptor signaling pathway;guanyl-nucleotide exchange factor activity;heart development;hydrolase activity;inositol phosphate-mediated signaling;intracellular;lipid catabolic process;lipid metabolic process;membrane fraction;phosphoinositide pho	Kit Receptor,  Protein Kinase,  Tumor Suppressor
51177	PLEKHO1	pleckstrin homology domain containing, family O member 1	NM_016274	NP_057358.2	ENSG00000023902	chr1:148389071 - 148398342		Tumor Suppressor
5347	PLK1	polo-like kinase 1 (Drosophila)	NM_005030	NP_005021.2	ENSG00000166851	chr16:23597754 - 23608885	ATP binding;cell proliferation;centrosome;mitosis;nucleotide binding;nucleus;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;regulation of progression through cell cycle;transferase activity	Protein Kinase,  Stability,  Tumor Suppressor
